antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
"Prod=1, Senior",Churned,0.05,0.2037,0.0319,0.6379999999999999,3.1320569464899357,0.021714999999999998,2.1997237569060766,0.7165484243524172
Senior,Churned,0.0797,0.2037,0.0448,0.5621079046424091,2.7594889771350473,0.02856511,1.8184845272206307,0.6928328398348365
"HasCard, Senior",Churned,0.0546,0.2037,0.03,0.5494505494505494,2.6973517400616074,0.01887798,1.7673975609756096,0.6656082081658558
"Inactive, Middle, Prod=1",Churned,0.0696,0.2037,0.0374,0.5373563218390806,2.6379789977372634,0.023222480000000004,1.721195031055901,0.6673709427490219
"Germany, Inactive, Prod=1",Churned,0.072,0.2037,0.0375,0.5208333333333334,2.5568646702667324,0.022833600000000003,1.6618434782608698,0.6561379310344829
"Germany, High, Prod=1",Churned,0.0927,0.2037,0.0467,0.5037756202804746,2.47312528365476,0.02781701,1.604717608695652,0.6565119795633372
